date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:29	2165/2165	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/newguy.html	progressquest.com/play/newguy.html	(from )
12:15:29	133/133	---M--	200	added ('OK')	text/plain	date:Sat,%2022%20Sep%202007%2021:05:26%20GMT	http://progressquest.com/robots.txt		(from )
12:15:30	2442/2442	---MC-	200	added ('OK')	text/css	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/progros.css	progressquest.com/play/progros.css	(from )
12:15:30	730/730	---MC-	200	added ('OK')	text/css	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/newguy.css	progressquest.com/play/newguy.css	(from )
12:15:30	17382/17382	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/json2.js	progressquest.com/play/json2.js	(from )
12:15:31	163855/163855	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/jquery.js	progressquest.com/play/jquery.js	(from )
12:15:31	20636/20636	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/config.js	progressquest.com/play/config.js	(from )
12:15:32	5778/5778	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/newguy.js	progressquest.com/play/newguy.js	(from )
12:15:32	254/254	---M--	200	added ('OK')	image/gif	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/swords.gif	progressquest.com/play/swords.gif	(from )
12:15:32	196/196	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/closeup.png	progressquest.com/play/closeup.png	(from )
12:15:32	187/187	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/closedown.png	progressquest.com/play/closedown.png	(from http://progressquest.com/play/newguy.html)
12:15:33	4572/4572	---MC-	200	added ('OK')	text/html	date:Tue,%2031%20Jan%202012%2021:07:33%20GMT	http://progressquest.com/play/main.html	progressquest.com/play/main.html	(from http://progressquest.com/play/newguy.html)
12:15:34	3228/3228	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/roster.html	progressquest.com/play/roster.html	(from http://progressquest.com/play/newguy.html)
12:15:36	106774/106774	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/back.jpg	progressquest.com/play/back.jpg	(from http://progressquest.com/play/newguy.html)
12:15:36	1977/1977	---MC-	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202012%2021:15:21%20GMT	http://progressquest.com/play/main.css	progressquest.com/play/main.css	(from http://progressquest.com/play/newguy.js)
12:15:37	1308/1308	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/touch-icon.png	progressquest.com/play/touch-icon.png	(from http://progressquest.com/play/newguy.js)
12:15:37	29972/29972	---MC-	200	added ('OK')	application/x-javascript	date:Tue,%2031%20Jan%202012%2021:17:21%20GMT	http://progressquest.com/play/main.js	progressquest.com/play/main.js	(from http://progressquest.com/play/newguy.js)
12:15:37	1881/1881	---MC-	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/roster.js	progressquest.com/play/roster.js	(from http://progressquest.com/play/newguy.js)
12:15:37	14499/14499	---M--	200	added ('OK')	image/gif	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/pq.gif	progressquest.com/play/pq.gif	(from http://progressquest.com/play/newguy.js)
12:15:38	4134/4134	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/dicebar.jpg	progressquest.com/play/dicebar.jpg	(from http://progressquest.com/play/newguy.js)
12:15:38	2165/2165	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Jan%202012%2023:58:55%20GMT	http://progressquest.com/play/newguy.html?sold	progressquest.com/play/newguy7391.html	(from http://progressquest.com/play/roster.html)
12:15:38	2814/2814	---MC-	200	added ('OK')	text/html	date:Mon,%2030%20Jan%202012%2023:58:54%20GMT	http://progressquest.com/play/	progressquest.com/play/index.html	(from http://progressquest.com/play/roster.html)
